Angle,Cp,p
7.987500e+01,6.249610e-02,2.098190e-01
8.061146e+01,4.915691e-02,2.031495e-01
1.777500e+02,-2.297426e-01,6.369971e-02
1.781385e+02,-2.300257e-01,6.355814e-02
1.788750e+02,-2.307066e-01,6.321768e-02
1.796115e+02,-2.315608e-01,6.279059e-02
-9.186146e+01,-1.081859e-01,1.244781e-01
-9.112500e+01,-9.906745e-02,1.290373e-01
-9.038854e+01,-8.999225e-02,1.335749e-01
1.713885e+02,-2.320696e-01,6.253619e-02
1.721250e+02,-2.312420e-01,6.295002e-02
1.728615e+02,-2.305149e-01,6.331355e-02
-1.057500e+02,-2.346890e-01,6.122649e-02
-1.053615e+02,-2.323946e-01,6.237370e-02
-1.046250e+02,-2.272879e-01,6.492705e-02
-1.038885e+02,-2.218065e-01,6.766776e-02
7.463854e+01,1.608041e-01,2.589730e-01
7.537500e+01,1.459649e-01,2.515534e-01
7.611146e+01,1.311335e-01,2.441377e-01
1.083885e+02,-2.487821e-01,5.417993e-02
1.091250e+02,-2.514950e-01,5.282352e-02
1.098615e+02,-2.533844e-01,5.187879e-02
1.102500e+02,-2.541965e-01,5.147273e-02
-1.241385e+02,-2.410834e-01,5.802932e-02
-1.248750e+02,-2.407817e-01,5.818017e-02
-1.256115e+02,-2.405091e-01,5.831647e-02
-8.736146e+01,-4.923498e-02,1.539535e-01
-8.662500e+01,-3.883210e-02,1.591550e-01
-8.588854e+01,-2.862772e-02,1.642571e-01
-8.550000e+01,-2.363935e-02,1.667513e-01
-5.400000e+01,6.452857e-01,5.012138e-01
-5.361146e+01,6.558249e-01,5.064834e-01
-5.287500e+01,6.771053e-01,5.171236e-01
-5.213854e+01,6.974143e-01,5.272781e-01
-5.175000e+01,7.074561e-01,5.322990e-01
0.000000e+00,1.662069e+00,1.009606e+00
3.885417e-01,1.662677e+00,1.009910e+00
1.125000e+00,1.663401e+00,1.010271e+00
1.861458e+00,1.663585e+00,1.010364e+00
1.263885e+02,-2.379259e-01,5.960806e-02
1.271250e+02,-2.378501e-01,5.964596e-02
1.278615e+02,-2.377949e-01,5.967353e-02
1.282500e+02,-2.377715e-01,5.968524e-02
1.462500e+02,-2.392609e-01,5.894056e-02
1.458615e+02,-2.391852e-01,5.897840e-02
1.451250e+02,-2.390203e-01,5.906086e-02
1.443885e+02,-2.388332e-01,5.915442e-02
1.440000e+02,-2.387298e-01,5.920608e-02
1.125000e+02,-2.550615e-01,5.104024e-02
1.121115e+02,-2.554589e-01,5.084153e-02
1.113750e+02,-2.555087e-01,5.081663e-02
1.106385e+02,-2.547690e-01,5.118648e-02
1.376385e+02,-2.374077e-01,5.986717e-02
1.383750e+02,-2.374302e-01,5.985588e-02
1.391115e+02,-2.375063e-01,5.981787e-02
1.395000e+02,-2.375676e-01,5.978720e-02
-3.885417e-01,1.661263e+00,1.009202e+00
-1.125000e+00,1.659384e+00,1.008263e+00
-1.861458e+00,1.657078e+00,1.007110e+00
-2.250000e+00,1.655577e+00,1.006359e+00
-1.305000e+02,-2.398825e-01,5.862974e-02
-1.308885e+02,-2.398718e-01,5.863511e-02
-1.316250e+02,-2.398485e-01,5.864674e-02
-1.323615e+02,-2.398370e-01,5.865252e-02
-1.327500e+02,-2.398443e-01,5.864887e-02
-8.363854e+01,3.801735e-03,1.804719e-01
-8.437500e+01,-7.154612e-03,1.749937e-01
-8.511146e+01,-1.804656e-02,1.695477e-01
1.128885e+02,-2.544780e-01,5.133202e-02
1.136250e+02,-2.533131e-01,5.191444e-02
1.143615e+02,-2.518392e-01,5.265142e-02
1.147500e+02,-2.509165e-01,5.311274e-02
2.738854e+01,1.325480e+00,8.413111e-01
2.812500e+01,1.309696e+00,8.334190e-01
2.886146e+01,1.294048e+00,8.255949e-01
2.925000e+01,1.285029e+00,8.210856e-01
-1.755000e+02,-2.393235e-01,5.890927e-02
-1.758885e+02,-2.387151e-01,5.921344e-02
-1.766250e+02,-2.374999e-01,5.982104e-02
-1.773615e+02,-2.362604e-01,6.044078e-02
-1.098615e+02,-2.562994e-01,5.042129e-02
-1.091250e+02,-2.533452e-01,5.189838e-02
-1.083885e+02,-2.498766e-01,5.363270e-02
-1.080000e+02,-2.479116e-01,5.461519e-02
-3.336146e+01,1.187203e+00,7.721726e-01
-3.262500e+01,1.205277e+00,7.812093e-01
-3.188854e+01,1.222940e+00,7.900412e-01
1.388854e+01,1.570041e+00,9.635916e-01
1.462500e+01,1.558809e+00,9.579754e-01
1.536146e+01,1.549463e+00,9.533023e-01
1.575000e+01,1.541786e+00,9.494641e-01
-1.391115e+02,-2.400409e-01,5.855056e-02
-1.383750e+02,-2.400713e-01,5.853533e-02
-1.376385e+02,-2.400712e-01,5.853538e-02
-1.372500e+02,-2.400593e-01,5.854134e-02
1.485000e+02,-2.395263e-01,5.880784e-02
1.488885e+02,-2.395486e-01,5.879670e-02
1.496250e+02,-2.395808e-01,5.878060e-02
1.503615e+02,-2.396047e-01,5.876864e-02
1.507500e+02,-2.396155e-01,5.876324e-02
-1.751115e+02,-2.398804e-01,5.863079e-02
-1.743750e+02,-2.408421e-01,5.814997e-02
-1.736385e+02,-2.416447e-01,5.774863e-02
-1.732500e+02,-2.419930e-01,5.757451e-02
3.600000e+01,1.105505e+00,7.313235e-01
3.561146e+01,1.115081e+00,7.361113e-01
3.487500e+01,1.142578e+00,7.498598e-01
3.413854e+01,1.163986e+00,7.605641e-01
3.375000e+01,1.176063e+00,7.666026e-01
-1.526115e+02,-2.427301e-01,5.720593e-02
-1.518750e+02,-2.425699e-01,5.728607e-02
-1.511385e+02,-2.422284e-01,5.745681e-02
-1.507500e+02,-2.419865e-01,5.757776e-02
3.638854e+01,1.103296e+00,7.302191e-01
3.712500e+01,1.090989e+00,7.240655e-01
3.786146e+01,1.070030e+00,7.135862e-01
-1.485000e+02,-2.402744e-01,5.843380e-02
-1.481115e+02,-2.400169e-01,5.856254e-02
-1.473750e+02,-2.396353e-01,5.875336e-02
-1.466385e+02,-2.394272e-01,5.885741e-02
-1.462500e+02,-2.393837e-01,5.887916e-02
-5.811146e+01,5.394144e-01,4.482782e-01
-5.737500e+01,5.590082e-01,4.580751e-01
-5.663854e+01,5.786290e-01,4.678855e-01
-5.625000e+01,5.884925e-01,4.728172e-01
1.301115e+02,-2.376925e-01,5.972473e-02
1.293750e+02,-2.377189e-01,5.971153e-02
1.286385e+02,-2.377508e-01,5.969559e-02
8.588854e+01,-3.083396e-02,1.631540e-01
8.662500e+01,-4.142043e-02,1.578608e-01
8.736146e+01,-5.191606e-02,1.526130e-01
8.775000e+01,-5.721742e-02,1.499623e-01
-5.136146e+01,7.187111e-01,5.379266e-01
